cross,fert,dir,genet
U16-U4,41.81818182,ova,U16
U16-U4,47.36842105,ova,U16
U16-U4,55.55555556,ova,U16
U4-U24,30,sperm,U4
U4-U24,24.56140351,sperm,U4
U4-U24,50,sperm,U4
U4-U94,36.17021277,sperm,U4
U4-U94,81.13207547,sperm,U4
U4-U94,68.51851852,sperm,U4
U4-M13,86,sperm,U4
U4-M13,84.21052632,sperm,U4
U4-M13,86.66666667,sperm,U4
U4-U50,82.14285714,sperm,U4
U4-U50,61.2244898,sperm,U4
U4-U50,86.20689655,sperm,U4
U4-U32,36.47058824,sperm,U4
U4-U32,46.42857143,sperm,U4
U4-U32,55.55555556,sperm,U4
U4-U12,7.042253521,sperm,U4
U4-U12,7.246376812,sperm,U4
U4-U12,7.462686567,sperm,U4
U4-U16,41.81818182,sperm,U4
U4-U16,47.36842105,sperm,U4
U4-U16,55.55555556,sperm,U4
U4-U24,41.26984127,ova,U4
U4-U24,70.76923077,ova,U4
U4-U24,50.87719298,ova,U4
U4-U94,78.57142857,ova,U4
U4-U94,89.79591837,ova,U4
U4-U94,85,ova,U4
U4-M13,73.91304348,ova,U4
U4-M13,84.09090909,ova,U4
